No,f1,f2,a1,a2,X,Y,Z,K,M,N
165,-0.5,-0.5,0,90,-1.824333291,0.401875113,0.194833839,-0.237159539,0.394622858,0.533222754
166,-0.5,-0.5,45,-90,-1.886294962,0.338068787,-0.520945786,0.429379846,-0.042128388,0.393450526
167,-0.5,-0.5,45,-45,-1.929385376,0.003711208,-0.004327023,0.228624497,-0.004420875,0.001618555
168,-0.5,-0.5,45,0,-1.919265495,-0.105320006,-0.012478497,0.071819016,0.277512292,-0.159162312
169,-0.5,-0.5,45,45,-1.900632752,0.002352348,-0.174665025,-0.000782014,0.547023021,-0.000551255
170,-0.5,-0.5,45,90,-1.858302683,0.287891021,-0.252072489,-0.068129602,0.745957249,0.233561006
171,-0.5,-0.5,90,-90,-1.865787291,-0.000939434,-0.007897584,0.493733176,-0.048200939,0.031883342
172,-0.5,-0.5,90,-45,-1.859085789,-0.320217514,0.484961081,0.372005695,0.005050125,-0.323865277
173,-0.5,-0.5,90,0,-1.896145706,-0.406488869,0.195437726,0.236046708,0.39967381,-0.534249022
174,-0.5,-0.5,90,45,-1.829375055,-0.277651457,-0.233929121,0.065128959,0.6836536,-0.19065767
175,-0.5,-0.5,90,90,-1.808590073,-5.99614E-05,-0.244527402,-0.000201324,0.742215002,0.000600529
176,-0.5,0,-90,-90,-1.244999585,-0.23565964,0.32676011,-0.061406119,-0.38211458,0.684032008
177,-0.5,0,-90,-45,-1.229897848,-0.394113954,0.17369531,-0.190915665,-0.949448616,0.682978741
178,-0.5,0,-90,0,-1.243666323,-0.497011651,-0.157703037,-0.443984655,-1.507865545,-0.299472215
179,-0.5,0,-90,45,-1.241778832,-0.451754436,-0.335250919,-0.572895104,-0.861212604,-1.089767357
180,-0.5,0,-90,90,-1.276626156,-0.332100451,-0.140502902,-0.716327796,-0.094679502,-1.216583946
181,-0.5,0,-45,-90,-1.312514044,0.102194561,0.288795725,0.047556123,0.166930095,1.033982423
182,-0.5,0,-45,-45,-1.289140784,-0.109277609,0.209824946,-0.074832966,-0.333855047,1.290861388
183,-0.5,0,-45,0,-1.298529299,-0.22012851,0.094309538,-0.183457616,-1.192428221,0.985019112
184,-0.5,0,-45,45,-1.287839241,-0.133798077,0.112610772,-0.356590436,-1.487554684,-0.043328703
185,-0.5,0,-45,90,-1.308894765,0.023403995,0.345252976,-0.534350585,-0.872714571,-0.606164945
186,-0.5,0,0,-90,-1.311960878,0.176379652,-0.134425757,0.290220626,0.987242734,0.347182661
187,-0.5,0,0,-45,-1.322096068,-0.029111822,-0.022685956,0.113438908,0.894408137,1.281793025
188,-0.5,0,0,0,-1.318721692,-0.127276245,-0.008433341,0.003400404,-0.019631982,1.670176535
189,-0.5,0,0,45,-1.25928712,-0.007641313,0.020891323,-0.092628642,-0.875230728,1.230723656
190,-0.5,0,0,90,-1.328380758,0.180606589,0.151219729,-0.304082786,-1.13597372,0.360903458
191,-0.5,0,45,-90,-1.321066145,0.018709455,-0.346251188,0.529237063,0.771975851,-0.606995055
192,-0.5,0,45,-45,-1.285299285,-0.134115864,-0.123281351,0.356693627,1.460308595,-0.023023572
193,-0.5,0,45,0,-1.286795095,-0.209847278,-0.109246568,0.1953351,1.139328787,0.977444925
194,-0.5,0,45,45,-1.301167109,-0.098331477,-0.228846432,0.076149658,0.305667557,1.255430239
195,-0.5,0,45,90,-1.320440048,0.111104359,-0.307714835,-0.042861577,-0.245595202,0.970886439
196,-0.5,0,90,-90,-1.234968231,-0.33059057,0.113006769,0.65171293,-0.039725106,-1.141684364
197,-0.5,0,90,-45,-1.235864147,-0.447970727,0.31813876,0.589904121,0.728302907,-0.990803351
198,-0.5,0,90,0,-1.244136088,-0.490047776,0.150551479,0.427185757,1.312173653,-0.328297959
199,-0.5,0,90,45,-1.263452264,-0.385918117,-0.157923354,0.200447509,0.908860033,0.548522326
200,-0.5,0,90,90,-1.275275615,-0.194940341,-0.284367297,0.057609169,0.448182998,0.680743633
201,-0.5,0.5,-90,-90,,,,,,
202,-0.5,0.5,-90,-45,,,,,,
203,-0.5,0.5,-90,0,,,,,,
204,-0.5,0.5,-90,45,,,,,,
205,-0.5,0.5,-90,90,,,,,,
206,-0.5,0.5,-45,-90,,,,,,
207,-0.5,0.5,-45,-45,,,,,,
208,-0.5,0.5,-45,0,,,,,,
209,-0.5,0.5,-45,45,,,,,,
210,-0.5,0.5,-45,90,,,,,,
211,-0.5,0.5,0,-90,,,,,,
212,-0.5,0.5,0,-45,,,,,,
213,-0.5,0.5,0,0,,,,,,
214,-0.5,0.5,0,45,,,,,,
215,-0.5,0.5,0,90,,,,,,
216,-0.5,0.5,45,-90,,,,,,
217,-0.5,0.5,45,-45,,,,,,
218,-0.5,0.5,45,0,,,,,,
219,-0.5,0.5,45,45,,,,,,
220,-0.5,0.5,45,90,,,,,,
221,-0.5,0.5,90,-90,,,,,,
222,-0.5,0.5,90,-45,,,,,,
223,-0.5,0.5,90,0,,,,,,
224,-0.5,0.5,90,45,,,,,,
225,-0.5,0.5,90,90,,,,,,
226,-0.5,1,-90,-90,,,,,,
